Date,Gross Return,Net Return
1/15/2021,-3.20%,-2.66%
1/16/2021,1.60%,1.31%
1/17/2021,0.30%,0.25%
1/18/2021,1.30%,1.10%
1/19/2021,2.10%,1.73%
1/20/2021,-0.30%,-0.22%
1/21/2021,-11.60%,-9.79%
1/22/2021,6.10%,5.03%
1/23/2021,-0.70%,-0.60%
1/24/2021,4.90%,4.07%
1/25/2021,-1.90%,-1.61%
1/26/2021,1.10%,0.88%
1/27/2021,-4.90%,-4.10%
1/28/2021,2.90%,2.37%
1/29/2021,3.70%,3.05%
1/30/2021,0.70%,0.54%
1/31/2021,-3.10%,-2.58%
2/1/2021,2.70%,2.25%
2/2/2021,6.10%,5.09%
2/3/2021,6.10%,5.18%
2/4/2021,-1.40%,-1.19%
2/5/2021,6.50%,5.55%
2/6/2021,0.90%,0.75%
2/7/2021,-2.50%,-2.13%
2/8/2021,12.20%,10.53%
2/9/2021,5.00%,4.36%
2/10/2021,1.30%,1.11%
2/11/2021,2.70%,2.38%
2/12/2021,2.80%,2.50%
2/13/2021,-1.00%,-0.90%
2/14/2021,1.40%,1.25%
2/15/2021,-2.00%,-1.82%
2/16/2021,1.00%,0.92%
2/17/2021,8.20%,7.25%
2/18/2021,4.90%,4.35%
2/19/2021,18.10%,16.28%
2/20/2021,-5.20%,-4.74%
2/21/2021,3.70%,3.34%
2/22/2021,-5.60%,-5.09%
2/23/2021,-8.40%,-7.61%
2/24/2021,3.20%,2.86%
2/25/2021,-5.20%,-4.73%
2/26/2021,-1.70%,-1.57%
2/27/2021,0.50%,0.47%
2/28/2021,-2.60%,-2.31%
3/1/2021,8.70%,7.79%
3/2/2021,-2.80%,-2.49%
3/3/2021,2.60%,2.29%
3/4/2021,-2.80%,-2.55%
3/5/2021,-0.30%,-0.25%
3/6/2021,2.00%,1.80%
3/7/2021,3.40%,3.06%
3/8/2021,2.50%,2.28%
3/9/2021,6.00%,5.38%
3/10/2021,-1.30%,-1.17%
3/11/2021,2.20%,2.01%
3/12/2021,-2.90%,-2.62%
3/13/2021,5.70%,5.17%
3/14/2021,-3.00%,-2.75%
3/15/2021,-3.70%,-3.36%
3/16/2021,0.90%,0.82%
3/17/2021,2.10%,1.89%
3/18/2021,-1.60%,-1.48%
3/19/2021,0.90%,0.84%
3/20/2021,0.00%,-0.01%
3/21/2021,-0.70%,-0.65%
3/22/2021,-3.30%,-3.04%
3/23/2021,-0.10%,-0.14%
3/24/2021,-2.80%,-2.56%
3/25/2021,-1.50%,-1.32%
3/26/2021,4.90%,4.43%
3/27/2021,1.50%,1.34%
3/28/2021,-0.60%,-0.51%
3/29/2021,3.10%,2.83%
3/30/2021,3.50%,3.16%
3/31/2021,0.40%,0.40%
4/1/2021,2.60%,2.33%
4/2/2021,2.80%,2.53%
4/3/2021,-3.70%,-3.36%
4/4/2021,3.30%,3.02%
4/5/2021,1.70%,1.53%
4/6/2021,2.20%,1.99%
4/7/2021,-4.70%,-4.33%
4/8/2021,5.30%,4.86%
4/9/2021,1.70%,1.56%
4/10/2021,2.80%,2.59%
4/11/2021,3.40%,3.13%
4/12/2021,3.70%,3.42%
4/13/2021,1.40%,1.25%
4/14/2021,1.50%,1.42%
4/15/2021,0.80%,0.71%
4/16/2021,-3.50%,-3.29%
4/17/2021,-0.90%,-0.82%
4/18/2021,-5.00%,-4.66%
